tconst,primaryTitle,averageRating,directors,genres,actor,languages
tt0010629,Riders of Vengeance,3.5,nm0000406,Western,Clita Gale,sr
tt0010635,The Roaring Road,5.7,nm0190516,"Comedy,Drama,Sport",James Barranger,ja
tt0010654,Sahara,4.4,nm0744504,Adventure,I.J. Martin,ja
tt0010674,The Secret Garden,6.5,nm0167032,Drama,"Miss Gunha, Ann Malone, Mae Wilson",ja
tt0010747,Sunnyside,6.6,nm0000122,"Comedy,Short","Olive Burton, David Kohn, Helen Kohn","cs, sr, bg, ja, sv, ru, tr"
tt0010754,Fairy of Solbakken,6.3,nm0116307,Drama,Ingrid Sandahl,en
tt0010755,Sången om den eldröda blomman,6.8,nm0830249,"Drama,Romance","Arvid Dahlberg, Louise Fahlman","sv, ja, ca"
tt0010806,True Heart Susie,6.9,nm0000428,"Comedy,Drama,Romance",Marian Fremont,"sr, ja"
tt0010849,A Virtuous Vamp,6.1,nm0456634,"Comedy,Romance",William Gaunt,ja
tt0010905,The Witness for the Defense,7.5,nm0280463,"Crime,Drama",George Fitzgerald,ja
tt0010949,The Adventurer,1.9,nm0250053,"Adventure,Drama,History",Sadie Radcliffe,ja
tt0010962,Deception,6.5,nm0523932,"Biography,Drama,Romance",Fritz Stahlberg,"cmn, ja"
tt0010965,An Arabian Knight,5.3,nm0842521,"Action,Adventure,Fantasy",Lillian Drain,ja
tt0010969,Missing Husbands,6.7,nm0275494,"Adventure,Fantasy,Mystery","Abd-el-Kader Ben Ali, Mohamed Ben Noui, M. Jemain","en, tr, ja, fr"
tt0011000,Leaves From Satan's Book,6.6,nm0003433,Drama,Nalle Halden,ja
tt0011045,Carolina Rediviva,7.3,nm0373367,Drama,Hjördis Gille,en
tt0011073,The Copperhead,6.9,nm0537510,Drama,"Mayor N.M. Cartmell, Francis Haldorn, N. Schroell",ja
tt0011078,The Cradle of Courage,5.9,"nm0366586,nm0385171","Adventure,Drama,War",Frederick Bradbury,ja
tt0011094,The Dark Mirror,6.2,nm0316794,"Drama,Horror",Donald MacPherson,ja
tt0011110,The Two Girls,7.3,nm0275421,Drama,Laure Mouret,en
tt0011114,The Devil's Passkey,5.8,nm0002233,Drama,"J.H. Buffum, Baroness de Meyer","ja, en"
tt0011127,Down Home,6.4,nm0929649,Drama,"'Slats' Coombs, Andrew Webber",ja
tt0011148,Elmo the Fearless,2.5,nm0569645,"Action,Adventure",Ray Watson,ja
tt0011157,Erotikon,6.4,nm0830249,"Comedy,Romance","Carina Ari, Elin Lagergren, Greta Lindgren, Tora Wibergh",bg
tt0011173,Fante-Anne,6.2,nm0106950,"Crime,Drama,Romance","Johanne Bruhn, Magnus Falkberget, Anders Skrede, Kristine Ullmo, Elsa Vang, Øygard",sr
tt0011193,The Flapper,6.4,nm0189076,"Comedy,Romance","Aleene Bergman, Louise Lindroth",sr
tt0011197,For the Soul of Rafael,5.2,nm0308593,"Adventure,Drama,History",Paula Merritt,ja
tt0011213,From Now On,4.0,nm0909825,"Action,Crime,Drama",Robert Byrd,ja
tt0011216,Spanish Fiesta,7.0,nm0241273,Drama,Anna Gay,en
tt0011221,Genuine: The Tragedy of a Vampire,5.9,nm0927468,Horror,Kurt Hermann Rosenberg,"en, ru, ja"
tt0011234,Go and Get It,4.9,"nm0843364,nm0624714","Comedy,Drama,Horror","Samuel G. Blythe, Robert Edgren, Myles Lasker",ja
tt0011237,The Golem,7.2,"nm0917467,nm0091380","Fantasy,Horror",Dore Paetzold,"en, bg, fr"
tt0011303,Honest Hutch,6.0,nm0046082,"Comedy,Western",Yves Trebaol,ja
tt0011317,Humoresque,6.2,nm0097648,"Drama,Music,War","Alfred Goldberg, Maurice Levigne, Maurice Peckre, Edward Stanton",ja
tt0011339,Isobel or the Trail's End,5.0,nm0136888,Adventure,J.L. Pollock,ja
tt0011344,The Jack-Knife Man,6.5,nm0896542,Drama,"Bobby Kelso, Carol Marshall",ja
tt0011348,The Head of Janus,7.3,nm0003638,Horror,"Marga Reuter, Lanja Rudolph","nl, en, ja"
tt0011353,The Joyous Trouble-Makers,6.5,nm0250053,"Adventure,Comedy,Western","Molly Bishop, Chiek Leyva, Clarence Morgan, Thomas Warrilow",ja
tt0011368,Kismet,6.0,nm0309163,Drama,"Marguerite Comont, Robert Evans, Emily Seville",ja
tt0011370,Klostret i Sendomir,6.9,nm0803705,Drama,Nils Tillberg,ja
tt0011371,Kohlhiesel's Daughters,6.5,nm0523932,"Comedy,Romance","Jan Baluschek, Ingrid Scheuerman","en, ja"
tt0011414,The Love Expert,5.8,nm0456634,"Comedy,Romance","Marion Sitgreave, Harry Wentworth",ja
tt0011421,The Luck of the Irish,2.3,nm0245385,Drama,Nell Walker,ja
tt0011435,A Manhattan Knight,4.7,nm0073239,"Action,Adventure,Crime","William H. Budd, Cedric Ellis, Walter Mann",ja
tt0011440,Markens grøde,6.5,nm0814027,Drama,"Siljusson av Terna, Sigurd Berg Bruland, Almar Bjoernefjell, Sivert Eliassen, Leif Halvorsen, Ernst Vaumund",qbp
tt0011459,Mid-Channel,5.6,nm0308593,"Drama,Romance",Eileen Robinson,ja
tt0011549,Over the Hill to the Poorhouse,3.9,nm0587754,"Crime,Drama",James Sheldon,ja
tt0011598,The Price of Redemption,5.0,nm0280205,"Adventure,Crime,Drama",Rose Marie de Courelle,ja
tt0011607,The Parson's Widow,7.1,nm0003433,"Comedy,Drama,Horror","Olav Aukrust, Lorentz Thyholt","bg, en, ja"
tt0011649,Rupert of Hee Haw,6.0,nm0671501,"Comedy,Short",Gary Horton,ja
tt0011651,Sand,6.9,nm0385171,"Crime,Western","Russell A. Boggs, Ralph Warren","en, ja"
tt0011652,The Saphead,6.1,"nm0085133,nm0810367","Comedy,Drama,Romance","Henry Clauss, Helen Holte, Odette Tyler, F.H. Webster","fa, ja, ca"
tt0011693,The Silent Avenger,6.0,nm0242139,"Action,Adventure",Willis S. Smith,ja
tt0011705,The Skywayman,7.0,nm0003373,Drama,"Milton 'Skeets' Elliott, Ted McCann",ja
tt0011721,The Soul of Youth,7.0,nm0853336,Drama,Mrs. Ben Lindsey,ja
tt0011785,Treasure Island,7.0,nm0869665,Adventure,Josie Melville,"ja, bg"
tt0011816,Velvet Fingers,5.8,nm0782707,"Action,Adventure",Lucille Lennox,ja
tt0011833,From Morning to Midnight,6.9,nm0552609,"Drama,Horror,Thriller",Lo Heym,ja
tt0011841,Way Down East,7.3,nm0000428,"Drama,Romance","Mrs. Morgan Belmont, Josephine Bernard, Patricia Fruen, Victor Georg","fr, en, sr, bg, ja, qbn"
tt0011855,While New York Sleeps,6.9,nm0102643,"Crime,Drama",William Locke,ja
tt0011870,Within Our Gates,6.4,nm0584778,"Drama,Romance","Jack Chenault, Grant Edwards, Bernice Ladd, James D. Ruffin, William Starks","tr, en"
tt0011909,The Affairs of Anatol,6.6,nm0001124,"Comedy,Drama",Lady Parker,ja
tt0011912,After the Show,6.2,nm0210352,Drama,"Vianna Knowlton, Stella Seager",ja
tt0011923,Love of Perdition,6.6,nm0657928,"Drama,Family,Romance",Guedes de Oliveira,en
tt0011944,The Barbarian,4.5,nm0187981,Drama,"Anne Cudahy, Michael Cudahy, Theodore Seixas Solomons",ja
tt0011960,The Wildcat,6.9,nm0523932,"Comedy,Drama,Romance",Max Gronert,"en, cmn"
tt0011990,The Bonnie Brier Bush,7.0,nm0187981,Drama,Jack East,ja
tt0012017,Burn 'Em Up Barnes,6.5,nm0073239,"Action,Adventure,Comedy",Billy Boy Swinton,"ja, en"
tt0012068,The Conquering Power,6.8,nm0002271,"Drama,Romance","Ralph Barton, Mary Hearn",ja
tt0012105,The Devil Within,5.8,nm0244244,"Action,Adventure,Drama",Kirk Incas,ja
tt0012107,The Devil,6.1,nm0949648,Drama,Harry Leonhardt,ja
tt0012175,Fièvre,6.4,nm0217526,"Drama,Short",Elena Sagrary,ru
tt0012190,The Four Horsemen of the Apocalypse,7.1,nm0002271,"Drama,Romance,War",Henry Klaus,"ja, en, fr"
tt0012238,The Great Moment,6.8,nm0939992,Drama,Ann Grigg,ja
tt0012249,Hamlet,7.0,"nm0300544,nm0769942",Drama,Edward P. Vining,"bg, en, ja"
tt0012304,The Idle Class,7.3,nm0000122,"Comedy,Short","Howard Olsen, Lolita Parker, Mrs. Parker","sr, ru, bg, en, ja, tr"
tt0012349,The Kid,8.2,nm0000122,"Comedy,Drama,Family","Dan Dillon, Silas Hathaway, Flora Howard, Minnie Stearns","qbn, hi, en, cmn, fr, sr, tr, fa, ja, ca, bg, ar"
tt0012352,"King, Queen and Joker",6.3,nm0152260,Comedy,Lottie MacPherson,"fr, ja"
tt0012364,The Phantom Carriage,8.0,nm0803705,"Drama,Fantasy,Horror",Lisa Lundholm,"ja, tr, en"
tt0012398,The Little Minister,7.0,nm0822414,Drama,Mary Wilkinson,"ja, nl"
tt0012410,The Love Special,6.9,nm0882160,"Action,Adventure,Drama",William Gaden,ja
tt0012453,A Megfagyott gyermek,6.6,"nm0051019,nm0902006","Drama,Short",Ilona Linke,ru
tt0012468,Molly O',6.3,nm0428059,Comedy,Peggy Rompers,ja
tt0012484,The Murder of General Gryaznov,5.8,nm0673375,"Action,Adventure","N. Okudjava, N. Yachmenev","ru, en"
tt0012486,My Boy,6.2,"nm0042317,nm0373511","Comedy,Drama",Patsy Marks,"ja, qbn, fr"
tt0012494,Destiny,7.6,nm0000485,"Drama,Fantasy,Horror",Loisia Lehnert,"cmn, en, fr, rn, ja, bg"
tt0012529,One a Minute,5.9,nm0625424,Comedy,Marian De Beck,ja
tt0012532,Orphans of the Storm,7.3,nm0000428,"Drama,History,Romance","Ruth Cleaver, Dorothy McConnell","tr, sr, ja"
tt0012600,The Queen of Sheba,7.0,nm0250053,"Adventure,Drama","Joan Gordon, William Hardy","fr, qbn"
tt0012631,Souls on the Road,6.5,nm0613600,Drama,"Ryuko Date, Kumahiko Mohara, Shigeru Tsutamura","en, ru, ja"
tt0012646,The Sawmill,5.9,"nm0851537,nm0783865","Comedy,Short",Peter Ormonds,ru
tt0012651,The Haunted Castle,6.1,nm0003638,"Crime,Drama,Mystery","Victor Bluetner, Graf F. Montgelas, Lulu Kyser-Korff, Georg Zawatzky","cmn, tr"
tt0012675,The Sheik,6.2,nm0577654,"Adventure,Drama,Romance",Ruth Miller,"ja, en, ru"
tt0012699,The Sky Pilot,6.0,nm0896542,"Drama,Western",Cathrine Curtis,ja
tt0012745,La terre,6.7,nm0031134,Drama,Emile Desjardins,ru
tt0012752,The Three Musketeers,6.9,nm0629243,"Action,Adventure,Family","Frank England, Nellie Mason",ja
tt0012754,Three Word Brand,6.4,nm0385171,Western,Will Reynolds,ja
